Dataset_ID	TCGA-BRCA-L3-S64
Source	TCGA
Platform	MDA_RPPA_Core
Sample_Type	patient tumor
Included_In_Summary	yes
Cancer_Type	Breast invasive carcinoma
RPPA_Batch_ID	64
Species	Homo sapiens
Num_Samples	270
Num_Antibodies	223
Normalization_Method	Loading control
Normalization_Description	(1) median center the protein columns across samples based on level 2 data; (2) median center the sample rows across proteins by subtracting each sample median.
Dataset_Description	Breast invasive carcinoma (BRCA) batch 64
Comments	NA
Reference	NA
PMID	NA
TCPA_Release	"4.2"
